business_name,phone,email,website,address,rating,reviews,business_type,zip_code,source_url,scraped_at,rejection_reason
Santorini Family Restaurant,(513) 662-8080,,http://www.santorinicincy.com/,"3414 Harrison Ave, Cincinnati, OH 45211",4.7,,Dine-in Restaurants,45001,http://www.santorinicincy.com/,2026-06-08 17:04:54,Missing: email
West Shine Family Restaurant,(513) 922-9378,,http://www.westshinerestaurant.com/,"3245 Westbourne Dr, Cincinnati, OH 45248",4.6,,Dine-in Restaurants,45001,http://www.westshinerestaurant.com/,2026-06-08 17:05:02,Missing: email
State Line Restaurant,(812) 537-4558,,http://www.statelinerestaurant.com/,"55 US-50, Lawrenceburg, IN 47025",4.6,,Dine-in Restaurants,45001,http://www.statelinerestaurant.com/,2026-06-08 17:05:45,Missing: email
On The Rocks Bourbon Bar & Restaurant,(513) 771-2080,,https://www.marriott.com/en-us/hotels/cvgde-delta-hotels-cincinnati-sharonville/dining/,"11400 Chester Rd, Cincinnati, OH 45246",4.4,,Dine-in Restaurants,45001,https://www.marriott.com/en-us/hotels/cvgde-delta-hotels-cincinnati-sharonville/dining/,2026-06-08 17:06:08,Missing: email
Sprig & Stone Casual Dining,(888) 582-4253,,https://creationmuseum.org/dining/,"Creation Museum, 2800 Bullittsburg Church Rd, Petersburg, KY 41080",4.3,,Dine-in Restaurants,45001,https://creationmuseum.org/dining/,2026-06-08 17:06:38,Missing: email
Hebron Grille,(859) 586-0473,,https://www.hebrongrilleky.com/,"1960 N Bend Rd, Hebron, KY 41048",4.6,,Dine-in Restaurants,45001,https://www.hebrongrilleky.com/,2026-06-08 17:06:55,Missing: email
SwingLine Madeira,(513) 407-7444,,https://www.swinglinemadeira.com/,"7710 Railroad Ave, Cincinnati, OH 45243",4.6,,Dine-in Restaurants,45001,https://www.swinglinemadeira.com/,2026-06-08 17:07:07,Missing: email
Fable Cafe,,,http://fablecafecincy.com/,"3117 Harrison Ave, Cincinnati, OH 45211",4.8,,Coffee Shops,45001,http://fablecafecincy.com/,2026-06-08 17:07:54,"Missing: phone, email"
Caravel Coffee,(513) 346-8828,,,"3410 Glenmore Ave, Cheviot, OH 45211",4.9,,Coffee Shops,45001,2039391235471415499,2026-06-08 17:08:03,Missing: email
BIGGBY COFFEE,(513) 376-7139,,https://biggby.com/,"10126 Suspension Bridge Rd, Harrison, OH 45030",4.3,,Coffee Shops,45001,https://biggby.com/,2026-06-08 17:08:06,Missing: email
Ludlow Coffee,(859) 341-2928,,http://ludlowkycoffee.com/,"630 Elm St, Ludlow, KY 41016",4.9,,Coffee Shops,45001,http://ludlowkycoffee.com/,2026-06-08 17:08:47,Missing: email
McDonald's,(513) 467-9016,,https://www.mcdonalds.com/us/en-us/location/OH/CINCINNATI/55-KIBBY-DR/18263.html?cid=RF:YXT:GMB::Clicks,"55 Kibby Ln, Cincinnati, OH 45233",3.5,,Coffee Shops,45001,https://www.mcdonalds.com/us/en-us/location/OH/CINCINNATI/55-KIBBY-DR/18263.html?cid=RF:YXT:GMB::Clicks,2026-06-08 17:08:57,Missing: email
Just Love Coffee Cafe - Colerain Township,(513) 818-8077,,https://justlovecoffeecafe.com/oh-cincinnati-colerain-township/,"9894 Colerain Ave, Cincinnati, OH 45251",4.8,,Coffee Shops,45001,https://justlovecoffeecafe.com/oh-cincinnati-colerain-township/,2026-06-08 17:09:19,Missing: email
Kings Arms Coffee Roasters,(513) 429-2300,,http://kingsarmscoffee.com/,"1900 Baymiller St, Cincinnati, OH 45214",4.7,,Coffee Shops,45001,http://kingsarmscoffee.com/,2026-06-08 17:09:34,Missing: email
Luminary by La Terza,(513) 542-2739,,https://www.luminarybylaterza.com/,"6128 Hamilton Ave, Cincinnati, OH 45224",4.6,,Coffee Shops,45001,https://www.luminarybylaterza.com/,2026-06-08 17:09:45,Missing: email
Starbucks,,press@starbucks.com,https://www.starbucks.com/store-locator/store/1016247,"4001 OH-128, Cleves, OH 45002",3.9,,Coffee Shops,45001,https://www.starbucks.com/store-locator/store/1016247,2026-06-08 17:09:55,Missing: phone
Square Mile Coffee Company,,sqmicoffee@gmail.com,https://sites.google.com/view/sqmico/home,"7420 Hamilton Ave, Mt Healthy, OH 45231",4.9,,Coffee Shops,45001,https://sites.google.com/view/sqmico/home,2026-06-08 17:10:01,Missing: phone
Cold Chain Integrity,(800) 447-1535,,http://www.cciwarehouse.com/,"2825 Crescent Springs Pike, Erlanger, KY 41018",4,,Cold Storage Facilities,45001,http://www.cciwarehouse.com/,2026-06-08 17:10:43,Missing: email
Americold Logistics Fairfield,(513) 860-5992,,https://www.americold.com/,"3110 Homeward Way, Fairfield, OH 45014",3.4,,Cold Storage Facilities,45001,https://www.americold.com/,2026-06-08 17:11:00,Missing: email
Silo XL Storage,(513) 353-3355,,http://siloxlstorage.com/,"6720 Kepler Rd, Cleves, OH 45002",4.7,,Cold Storage Facilities,45001,http://siloxlstorage.com/,2026-06-08 17:11:30,Missing: email
BLT Commercial Storage,(513) 731-8362,,,"2174 E Seymour Ave, Cincinnati, OH 45237",,,Cold Storage Facilities,45001,10384979278815637688,2026-06-08 17:11:53,Missing: email
BJ’s Wholesale Club PDC,,,,"10295 Toebben Dr, Independence, KY 41051",3,,Cold Storage Facilities,45001,2233814254441350251,2026-06-08 17:11:56,"Missing: phone, email"
Prestige Storage - Cincinnati,(513) 421-5400,,https://prestigestorage.com/locations/ohio/cincinnati/prestige-storage-cincinnati/,"737 W 6th St, Cincinnati, OH 45203",4.6,,Cold Storage Facilities,45001,https://prestigestorage.com/locations/ohio/cincinnati/prestige-storage-cincinnati/,2026-06-08 17:12:05,Missing: email
Prestige Storage - Fairfield,(513) 829-1509,,https://prestigestorage.com/locations/ohio/fairfield/prestige-storage-fairfield/,"4817 Factory Dr, Fairfield, OH 45014",4.7,,Cold Storage Facilities,45001,https://prestigestorage.com/locations/ohio/fairfield/prestige-storage-fairfield/,2026-06-08 17:12:29,Missing: email
Amazon Returns Center CVG2,,,,"1600 Worldwide Blvd, Hebron, KY 41048",3,,Cold Storage Facilities,45001,3716673092440172086,2026-06-08 17:12:50,"Missing: phone, email"
CubeSmart Self Storage,(513) 999-2007,,https://www.cubesmart.com/ohio-self-storage/cincinnati-self-storage/4535.html?utm_source=google&utm_medium=gmb&utm_campaign=gmb-listings,"6290 Glenway Ave, Cincinnati, OH 45211",4.9,,Cold Storage Facilities,45001,https://www.cubesmart.com/ohio-self-storage/cincinnati-self-storage/4535.html?utm_source=google&utm_medium=gmb&utm_campaign=gmb-listings,2026-06-08 17:12:52,Missing: email
ICON & Company,(513) 353-9090,,http://www.iconcoldstorage.com/,,,,Cold Storage Facilities,45001,http://www.iconcoldstorage.com/,2026-06-08 17:13:28,"Missing: email, address"
Cincinnati Mini-Storage,(513) 456-2001,,http://www.cincinnatiministorage.com/,"3423 Colerain Ave, Cincinnati, OH 45225",4.9,,Cold Storage Facilities,45001,http://www.cincinnatiministorage.com/,2026-06-08 17:13:37,Missing: email
Stehlin's Meat Market,(513) 385-6164,,http://www.stehlinsmeatmarket.com/,"10134 Colerain Ave, Cincinnati, OH 45251",4.7,,Meat & Butcher Shops,45001,http://www.stehlinsmeatmarket.com/,2026-06-08 17:14:36,Missing: email
"The Chop Shop Deer Processing 24/7 Self Serve DROP OFF (Miamitown, OH)",(513) 353-3337,,,"7030 OH-128, Cleves, OH 45002",4.9,,Meat & Butcher Shops,45001,4753304407365538101,2026-06-08 17:14:49,Missing: email
R & R Quality Meats Inc. The Original Caterers,(513) 661-3254,,http://www.randrmeats.com/,"4029 Harrison Ave, Cincinnati, OH 45211",4.8,,Meat & Butcher Shops,45001,http://www.randrmeats.com/,2026-06-08 17:15:03,Missing: email
Mike's Meat Market,,,,"3011 Picwood Dr, Cincinnati, OH 45248",5,,Meat & Butcher Shops,45001,3099898943044764211,2026-06-08 17:15:11,"Missing: phone, email"
Sky Haven Farm,(513) 681-2303,,,"4871 Shepherd Creek Rd, Cincinnati, OH 45223",5,,Meat & Butcher Shops,45001,2461195612011710074,2026-06-08 17:15:25,Missing: email
Eckerlin's Meats,(513) 721-5743,,http://eckerlinmeats.com/,"116 W Elder St, Cincinnati, OH 45202",4.8,,Meat & Butcher Shops,45001,http://eckerlinmeats.com/,2026-06-08 17:15:29,Missing: email
Langen Meats & Fine Wines,(513) 385-3794,,,"5855 Cheviot Rd, Cincinnati, OH 45247",4.8,,Meat & Butcher Shops,45001,11856018937189910659,2026-06-08 17:15:44,Missing: email
Langen Meats,(513) 367-6600,,,"1170 Harrison Ave, Harrison, OH 45030",4.9,,Meat & Butcher Shops,45001,5222280190990975497,2026-06-08 17:15:49,Missing: email
North Side Meat,(513) 681-4111,,https://rymaps.xyz/business/north-side-meat-z26zeo,"2910 Sidney Ave, Cincinnati, OH 45225",4.3,,Meat & Butcher Shops,45001,https://rymaps.xyz/business/north-side-meat-z26zeo,2026-06-08 17:15:52,Missing: email
The Country Meat Co. Marketplace,(513) 715-3663,,http://www.thecountrymeatcomarketplace.com/,"3529 Reading Rd, Cincinnati, OH 45229",4.7,,Meat & Butcher Shops,45001,http://www.thecountrymeatcomarketplace.com/,2026-06-08 17:16:03,Missing: email
Gramer’s Meat and Produce,(859) 727-0019,,,"603 Stevenson Rd, Erlanger, KY 41018",4.2,,Meat & Butcher Shops,45001,8796783091722872841,2026-06-08 17:16:28,Missing: email
Findlay Kitchen,,findlaykitchen@findlaymarket.org,https://findlaykitchen.org/,"1719 Elm St, Cincinnati, OH 45202",4.8,,Catering Kitchens,45001,https://findlaykitchen.org/,2026-06-08 17:21:47,Missing: phone
Kickstart Kitchen,(859) 250-0881,,,"1032 Madison Ave, Covington, KY 41011",3,,Catering Kitchens,45001,11446321989892328215,2026-06-08 17:21:51,Missing: email
Soleil Kitchen,,,https://soleilkitchen.com/,"1719 Elm St, Cincinnati, OH 45202",5,,Catering Kitchens,45001,https://soleilkitchen.com/,2026-06-08 17:21:54,"Missing: phone, email"
Kate's Catering & Personal Chef Services,(859) 916-5910,,http://katescatering.co/,"702 6th Ave, Dayton, KY 41074",4.9,,Catering Kitchens,45001,http://katescatering.co/,2026-06-08 17:22:15,Missing: email
Essential Commissary,(513) 623-5204,,https://www.essentialcommissary.com/contact,"607 Shepherd Dr, Cincinnati, OH 45215",5,,Catering Kitchens,45001,https://www.essentialcommissary.com/contact,2026-06-08 17:22:27,Missing: email
Be Creative Catering,(859) 586-4201,,http://www.becreativecatering.com/,"1928 Petersburg Rd, Hebron, KY 41048",4.9,,Catering Kitchens,45001,http://www.becreativecatering.com/,2026-06-08 17:23:00,Missing: email
the galley commercial kitchen and meeting space,(812) 212-1086,,https://www.thegalleybatesville.com/,"16 E Boehringer St, Batesville, IN 47006",,,Catering Kitchens,45001,https://www.thegalleybatesville.com/,2026-06-08 17:23:58,Missing: email
SheDiZa's Kitchen LLC,(912) 336-5249,Queenaspeaks@gmail.com,,,5,,Catering Kitchens,45001,1744134139828694658,2026-06-08 17:24:07,Missing: address
Hampton Inn Suites Cincinnati West,(513) 538-6606,,https://www.hilton.com/en/hotels/lukbshx-hampton-suites-cincinnati-west/,"6336 Harrison Ave, Cincinnati, OH 45247",4,,Hotels & Motels,45001,https://www.hilton.com/en/hotels/lukbshx-hampton-suites-cincinnati-west/,2026-06-08 17:24:50,Missing: email
Miami Motel,(513) 429-2251,,,"109 N Miami Ave, Cleves, OH 45002",2.9,,Hotels & Motels,45001,1968836841876346077,2026-06-08 17:25:19,Missing: email
Comfort Inn & Suites Lawrenceburg,(812) 539-3600,,https://www.choicehotels.com/indiana/lawrenceburg/comfort-inn-hotels/in171?mc=llgoxxpx,"1610 Flossie Dr, Lawrenceburg, IN 47025",4.2,,Hotels & Motels,45001,https://www.choicehotels.com/indiana/lawrenceburg/comfort-inn-hotels/in171?mc=llgoxxpx,2026-06-08 17:25:21,Missing: email
Lookout Motel,(859) 431-5141,,,"1700 Dixie Hwy, Fort Wright, KY 41011",2.6,,Hotels & Motels,45001,8200439755514049874,2026-06-08 17:25:56,Missing: email
Red Roof Inn Cincinnati Airport-Florence/ Erlanger,(859) 342-7111,,https://www.redroof.com/property/ky/erlanger/RRI782?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI782,"599 Donaldson Hwy, Erlanger, KY 41018",3.3,,Hotels & Motels,45001,https://www.redroof.com/property/ky/erlanger/RRI782?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI782,2026-06-08 17:26:03,Missing: email
Motel Deluxe,(513) 367-5353,,,"10073 Harrison Ave, Harrison, OH 45030",3.4,,Hotels & Motels,45001,7653980731942500549,2026-06-08 17:27:12,Missing: email
Quality Inn & Suites Lawrenceburg,(812) 221-1018,,https://www.choicehotels.com/indiana/lawrenceburg/quality-inn-hotels/in492?mc=llgoxxpx,"765 E Eads Pkwy, Lawrenceburg, IN 47025",3.3,,Hotels & Motels,45001,https://www.choicehotels.com/indiana/lawrenceburg/quality-inn-hotels/in492?mc=llgoxxpx,2026-06-08 17:27:28,Missing: email
Gateway Lodge Motel,(513) 242-2593,,,"4453 Reading Rd, Cincinnati, OH 45229",3.3,,Hotels & Motels,45001,2144081581760732490,2026-06-08 17:28:02,Missing: email
Quality Inn & Suites CVG Airport,(859) 279-2283,,https://www.choicehotels.com/kentucky/erlanger/quality-inn-hotels/ky145?mc=llgoxxpx,"1805 Airport Exchange Blvd, Erlanger, KY 41018",3.6,,Hotels & Motels,45001,https://www.choicehotels.com/kentucky/erlanger/quality-inn-hotels/ky145?mc=llgoxxpx,2026-06-08 17:28:45,Missing: email
"HomeTowne Studios Florence, KY - Cincinnati Airport",(859) 283-2030,,https://www.redroof.com/extendedstay/hometownestudios/property/ky/florence/hts1360?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_hts1360,"7810 Commerce Dr, Florence, KY 41042",4.5,,Hotels & Motels,45001,https://www.redroof.com/extendedstay/hometownestudios/property/ky/florence/hts1360?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_hts1360,2026-06-08 17:29:22,Missing: email
13 Below Brewery,(513) 975-0613,,http://13belowbrewery.com/,"7391 Forbes Rd, Cincinnati, OH 45233",4.6,,Breweries/Distilleries,45001,http://13belowbrewery.com/,2026-06-08 17:30:47,Missing: email
Brain Brew Distillery,(513) 271-9911,,http://brainbrewwhiskey.com/,"3849 Edwards Rd, Newtown, OH 45244",4.8,,Breweries/Distilleries,45001,http://brainbrewwhiskey.com/,2026-06-08 17:30:58,Missing: email
Willow Run Custom Bourbon Experiences,(513) 721-2687,,https://willowrunbourbon.com/,"645 Walnut St, Cincinnati, OH 45202",4.9,,Breweries/Distilleries,45001,https://willowrunbourbon.com/,2026-06-08 17:31:14,Missing: email
Boone County Distilling Co & Event Center,(859) 282-6545,,https://boonedistilling.com/,"10601 Toebben Dr, Independence, KY 41051",4.9,,Breweries/Distilleries,45001,https://boonedistilling.com/,2026-06-08 17:31:24,Missing: email
Northside Distilling Co.,(513) 760-9611,,https://www.northsidedistilling.com/,"922 Race St, Cincinnati, OH 45202",4.8,,Breweries/Distilleries,45001,https://www.northsidedistilling.com/,2026-06-08 17:31:36,Missing: email
Fabled Brew Works,(859) 727-2337,,http://fabledbrewworks.beer/,"331 Kenton Lands Rd Suite 300, Erlanger, KY 41018",4.9,,Breweries/Distilleries,45001,http://fabledbrewworks.beer/,2026-06-08 17:32:09,Missing: email
Hearth Brewing,,thehearth@hearthbrewing.com,https://www.hearthbrewing.com/,"1195 Stone Dr, Harrison, OH 45030",4.6,,Breweries/Distilleries,45001,https://www.hearthbrewing.com/,2026-06-08 17:32:25,Missing: phone
Braxton Factory 52,(513) 918-4804,,https://braxtonbrewing.com/pages/braxton-factory-52,"4600 Beech St Suites 100 & 300, Norwood, OH 45212",4.7,,Breweries/Distilleries,45001,https://braxtonbrewing.com/pages/braxton-factory-52,2026-06-08 17:32:28,Missing: email
Cincinnati Distilling,(513) 378-5580,,http://cincinnatidistilling.com/,"203 Mill St, Milford, OH 45150",4.2,,Breweries/Distilleries,45001,http://cincinnatidistilling.com/,2026-06-08 17:32:36,Missing: email
Ross & Squibb Distillery,(913) 367-1480,,https://rossandsquibb.com/,"652 Shipping St, Lawrenceburg, IN 47025",3.8,,Breweries/Distilleries,45001,https://rossandsquibb.com/,2026-06-08 17:32:53,Missing: email
Second Sight Spirits,(859) 488-7866,,http://www.secondsightspirits.com/,"301 Elm St, Ludlow, KY 41016",5,,Breweries/Distilleries,45001,http://www.secondsightspirits.com/,2026-06-08 17:33:29,Missing: email
Dairy Mart,(513) 793-6233,,,"7210 Plainfield Rd, Cincinnati, OH 45236",2.6,,Dairy Shops,45001,13401373263661753814,2026-06-08 17:33:54,Missing: email
Mt. Healthy Dairy Bar,(513) 522-1288,,https://www.mthealthydairybar.com/,"7840 Hamilton Ave, Cincinnati, OH 45231",4.7,,Dairy Shops,45001,https://www.mthealthydairybar.com/,2026-06-08 17:34:16,Missing: email
Maverick Chocolate Co.,(513) 381-0561,,http://maverickchocolate.com/,"129 W Elder St, Cincinnati, OH 45202",4.8,,Candy/Chocolate Factories,45001,http://maverickchocolate.com/,2026-06-08 17:56:07,Missing: email
Doscher's Candies & Coffee House,(513) 381-8656,,http://doscherscandies.com/,"6926 Main St, Cincinnati, OH 45244",4.7,,Candy/Chocolate Factories,45001,http://doscherscandies.com/,2026-06-08 17:56:28,Missing: email
"Haute Chocolate, Inc.",(513) 793-9999,,http://www.haute-chocolate.com/,"9424 Shelly Ln, Cincinnati, OH 45242",4.9,,Candy/Chocolate Factories,45001,http://www.haute-chocolate.com/,2026-06-08 17:56:37,Missing: email
Friesinger's Fine Chocolates,(937) 743-4377,,http://www.friesingers.com/,"45 N Pioneer Blvd, Springboro, OH 45066",4.9,,Candy/Chocolate Factories,45001,http://www.friesingers.com/,2026-06-08 17:56:46,Missing: email
South Bend Chocolate Factory & Tours,,,https://www.indianadinosaurmuseum.org/chocolate-company/,"7102 Lincolnway W Hwy, South Bend, IN 46628",3.7,,Candy/Chocolate Factories,45001,https://www.indianadinosaurmuseum.org/chocolate-company/,2026-06-08 17:57:01,"Missing: phone, email"
Lindt Chocolate Shop,(513) 539-8339,,https://www.lindtusa.com/stores,"801 Premium Outlets Dr Space 801, Monroe, OH 45050",4.6,,Candy/Chocolate Factories,45001,https://www.lindtusa.com/stores,2026-06-08 17:58:15,Missing: email
Dairy Mart,(513) 793-6233,,,"7210 Plainfield Rd, Cincinnati, OH 45236",2.6,,Dairy Shops,45001,13401373263661753814,2026-06-08 18:11:09,Missing: email
Mt. Healthy Dairy Bar,(513) 522-1288,,https://www.mthealthydairybar.com/,"7840 Hamilton Ave, Cincinnati, OH 45231",4.7,,Dairy Shops,45001,https://www.mthealthydairybar.com/,2026-06-08 18:11:44,Missing: email
Walt Sweeney's Harrison Ave Auto Center,(877) 300-3930,,http://www.waltsweeney.com/,"6315 Harrison Ave, Cincinnati, OH 45248",4,,Car Dealerships,45001,http://www.waltsweeney.com/,2026-06-08 18:16:11,Missing: email
Walt Sweeney Ford,(513) 776-3742,jdoe@waltsweeney.com,https://www.waltsweeney.com/?utm_source=google_profile&utm_medium=organic&utm_campaign=main_website,"5400 Glenway Ave, Cincinnati, OH 45238",4.5,,Car Dealerships,45001,https://www.waltsweeney.com/?utm_source=google_profile&utm_medium=organic&utm_campaign=main_website,2026-06-08 18:16:19,Bouncer rejected email (undeliverable): jdoe@waltsweeney.com
Tom Gill Chevrolet,(859) 568-3214,,https://www.tomgillchevrolet.com/?utm_source=Google+Business+Profile&utm_medium=GBP+Button&utm_campaign=GBP+Button,"7830 Commerce Dr, Florence, KY 41042",4.7,,Car Dealerships,45001,https://www.tomgillchevrolet.com/?utm_source=Google+Business+Profile&utm_medium=GBP+Button&utm_campaign=GBP+Button,2026-06-08 18:16:39,Missing: email
Jake Sweeney Used Car Superstore,(513) 782-0000,,https://www.sweeneyusedcars.com/?utm_source=GBP&utm_medium=organic&utm_campaign=confluence,"11521 Princeton Pike, Cincinnati, OH 45246",4.8,,Car Dealerships,45001,https://www.sweeneyusedcars.com/?utm_source=GBP&utm_medium=organic&utm_campaign=confluence,2026-06-08 18:16:48,Missing: email
"Jeff Wyler Chrysler Dodge Jeep RAM of Lawrenceburg, IN",(812) 537-2525,,https://www.jeffwylerlawrenceburg.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_main,"875 E Eads Pkwy, Lawrenceburg, IN 47025",4.5,,Car Dealerships,45001,https://www.jeffwylerlawrenceburg.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_main,2026-06-08 18:16:57,Missing: email
Michael J Auto Sales,(513) 353-1067,,https://michaeljautosales.com/,"4885 E Miami River Rd, Cleves, OH 45002",2.7,,Car Dealerships,45001,https://michaeljautosales.com/,2026-06-08 18:17:13,Missing: email
Zimmer Chrysler Dodge Jeep Ram,(859) 525-1344,last@zimmermotor.com,https://www.zimmermotor.com/?utm_medium=organic&utm_source=GMBlisting&utm_campaign=chryslerdodgejeepramsales,"1086 Burlington Pike, Florence, KY 41042",4.4,,Car Dealerships,45001,https://www.zimmermotor.com/?utm_medium=organic&utm_source=GMBlisting&utm_campaign=chryslerdodgejeepramsales,2026-06-08 18:17:24,Bouncer rejected email (undeliverable): last@zimmermotor.com
Kelsey Chevrolet,(812) 537-1416,,http://www.kelseychev.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,"1105 E Eads Pkwy, Greendale, IN 47025",4.3,,Car Dealerships,45001,http://www.kelseychev.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,2026-06-08 18:17:37,Missing: email
Cincy AutoMall,(513) 717-1111,,http://cincyautomall.com/,"5300 Dixie Hwy, Fairfield, OH 45014",4,,Car Dealerships,45001,http://cincyautomall.com/,2026-06-08 18:17:44,Missing: email
Northgate Chrysler Dodge Jeep Ram,(513) 866-2539,,https://www.northgatechryslerdodgejeep.net/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link&utm_content=website_button,"8536 Colerain Ave, Cincinnati, OH 45251",4.6,,Car Dealerships,45001,https://www.northgatechryslerdodgejeep.net/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link&utm_content=website_button,2026-06-08 18:18:07,Missing: email
Enterprise Car Sales,(859) 439-2135,,https://www.enterprisecarsales.com/location/38L7/Enterprise_Car_Sales_Erlanger/?CUR=Local_Campaign&mcid=iyp:24489698,"615 Rodeo Dr, Erlanger, KY 41018",4.9,,Car Dealerships,45001,https://www.enterprisecarsales.com/location/38L7/Enterprise_Car_Sales_Erlanger/?CUR=Local_Campaign&mcid=iyp:24489698,2026-06-08 18:19:00,Missing: email
Cronin Chevrolet,(812) 220-4312,,https://www.croninchevrolet.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link,"1582 Harrison Brookville Rd, West Harrison, IN 47060",4.5,,Car Dealerships,45001,https://www.croninchevrolet.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link,2026-06-08 18:19:16,Missing: email
D1 Training Northern Kentucky,(859) 904-5445,,https://www.d1training.com/northern-kentucky/,"1952 N Bend Rd, Hebron, KY 41048",5,,Fitness Centers/Gyms,45001,https://www.d1training.com/northern-kentucky/,2026-06-08 18:27:08,Missing: email
Vine Fitness,(513) 800-0260,,http://www.thevinefitness.com/,"441 Vine St, Cincinnati, OH 45202",4.9,,Fitness Centers/Gyms,45001,http://www.thevinefitness.com/,2026-06-08 18:27:49,Missing: email
Jazzercise Cincinnati Delhi,(513) 404-6696,,http://jcls.jazzercise.com/facility/jazzercise-delhi-fitness-center,"6109 Cleves Warsaw Pike, Cincinnati, OH 45233",4.7,,Fitness Centers/Gyms,45001,http://jcls.jazzercise.com/facility/jazzercise-delhi-fitness-center,2026-06-08 18:28:14,Missing: email
CrossFit On the River,(513) 833-9599,,https://www.crossfitotr.com/,"5255 OH-128, Cleves, OH 45002",4.6,,Fitness Centers/Gyms,45001,https://www.crossfitotr.com/,2026-06-08 18:29:01,Missing: email
Spotless Car Wash & Coin Laundromat,,,,"18 Main St, Addyston, OH 45001",3.3,,Laundromats,45001,2108782791662768543,2026-06-08 19:18:21,"Missing: phone, email"
Sayler park laundromat,,,,"6593 Gracely Dr, Cincinnati, OH 45233",3.6,,Laundromats,45001,16269229706227214656,2026-06-08 19:18:24,"Missing: phone, email"
